01;ATLANTIDA
02;COLON
03;COMAYAGUA
04;COPAN
05;CORTES
06;CHOLUTECA
07;EL PARAISO
08;FRANCISCO MORAZAN
09;GRACIAS A DIOS
10;INTIBUCA
11;ISLAS DE LA BAHIA
12;LA PAZ
13;LEMPIRA
14;OCOTEPEQUE
15;OLANCHO
16;SANTA BARBARA
17;VALLE
18;YORO
